partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,Interaction_type,Pathway_classification,Pathway_classification_specific,Pathway_classification_alternative,Reactome_classification
5-HT_byTPH1_and_SLC18A1,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
5-HT_byTPH1_and_SLC18A2,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
5-HT_byTPH1_and_SLC6A4,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
5-HT_byTPH2_and_SLC18A1,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
5-HT_byTPH2_and_SLC18A2,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
5-HT_byTPH2_and_SLC6A4,5HTR3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Serotonin,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_(α1)2β1δε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_(α1)2β1δγ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_(α3)2(β4)3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_α3β4_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_α4β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC10A4,nAChR_α7_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC18A3,nAChR_(α1)2β1δε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC18A3,nAChR_(α1)2β1δγ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC18A3,nAChR_(α3)2(β4)3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
